seed,step,action,feature,feature_count,equal_league_log_loss_delta,leagues_improved,worst_league_log_loss_delta,accepted
lineup_continuity,3,add,def_rating_mean_5,8,-0.0035779384108346026,3,0.0021282068500514395,False
lineup_continuity,3,add,adjusted_key_passes_lineup_mean_trend_1_5,8,-0.003562824753595084,3,0.008068199889744943,False
lineup_continuity,3,add,mid_adjusted_key_passes_5,8,-0.0035488509714737713,3,0.002516059721363595,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_mean_ewm,8,-0.0035008854487914133,2,0.003625721464857623,False
lineup_continuity,3,add,mid_count,8,-0.0034816756375130485,3,0.0030849792163925027,False
lineup_continuity,3,add,recent_minutes_sum_5,8,-0.0034632782483783988,2,0.003946821372134535,False
lineup_continuity,3,add,gk_rating_mean_5,8,-0.0034296713639978328,3,0.0025124223464982887,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_mean_5,8,-0.0033858217250008595,2,0.004054582116965966,False
lineup_continuity,3,add,defensive_actions_per90_lineup_mean_3,8,-0.0033818524537963857,2,0.003288431202807529,False
lineup_continuity,3,add,key_passes_per90_lineup_mean_1,8,-0.003306863187822118,3,0.008473859047015253,False
lineup_continuity,3,add,defensive_actions_per90_lineup_mean_ewm,8,-0.0032772640529607822,2,0.004204217295228352,False
lineup_continuity,3,add,adjusted_key_passes_lineup_mean_5,8,-0.003229165818284585,3,0.004084126142128941,False
lineup_continuity,3,add,key_passes_per90_lineup_mean_trend_1_5,8,-0.0031439799846376014,3,0.008240950205210984,False
lineup_continuity,3,add,adjusted_rating_lineup_mean_5,8,-0.00312407848532239,3,0.005127074940418641,False
lineup_continuity,3,add,adjusted_rating_lineup_mean_3,8,-0.0030031861040655137,3,0.0038351313826806566,False
lineup_continuity,3,add,adjusted_key_passes_lineup_std_across_starters_5,8,-0.002863653858453796,2,0.0037328561054912335,False
lineup_continuity,3,add,defensive_actions_per90_sum_5,8,-0.002859812660432892,2,0.004849550005008085,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_mean_std_5,8,-0.00273491331761051,2,0.0055471719738426906,False
lineup_continuity,3,add,def_count,8,-0.0026780255947343344,3,0.005251838758549843,False
lineup_continuity,3,add,adjusted_key_passes_lineup_mean_3,8,-0.002671307398674383,2,0.0056442124206419475,False
lineup_continuity,3,remove,key_passes_per90_lineup_mean_3,6,-0.0015857996351830606,3,0.0023353277621256385,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_std_across_starters_5,8,-0.0013896863231898315,2,0.006174377510847373,False
lineup_continuity,3,add,defence_goal_rate_ewm,8,-0.0010258934414398846,2,0.004783898479924442,False
lineup_continuity,3,add,attack_goal_rate_ewm,8,-0.0009689064923975365,2,0.0067372577874971196,False
lineup_continuity,3,add,elo_difference,8,-0.0003899653338582887,2,0.010630335142827407,False
lineup_continuity,3,add,opponent_elo_rating,8,-0.00038995162978563427,2,0.010630381229291608,False
lineup_continuity,3,add,elo_rating,8,-0.00038990679264925274,2,0.010630561307997555,False
lineup_continuity,3,add,elo_expected_result,8,0.00044756622696537904,2,0.01248622534658228,False
lineup_continuity,3,add,expected_goals_strength,8,0.0013541763007318686,1,0.007829877509953453,False
lineup_continuity,3,add,prior_team_matches,8,0.035147294242897933,2,0.11003489005388589,False
lineup_continuity,4,remove,replacement_quality,5,-0.006042329527615786,3,0.0021592892541164588,True
lineup_continuity,4,add,mid_rating_mean_5,7,-0.005975213218140429,4,0.002023040549570254,False
lineup_continuity,4,add,rating_lineup_mean_trend_1_5,7,-0.00582199476370251,3,0.002011737365937627,False
lineup_continuity,4,remove,mean_pairwise_prior_starts,5,-0.005817003033971679,3,0.0013905206865320041,False
lineup_continuity,4,add,rating_lineup_std_across_starters_5,7,-0.005715869806939011,3,0.0028333221803238384,False
lineup_continuity,4,add,rating_lineup_min_5,7,-0.005715526635316626,3,0.002796198748770351,False
lineup_continuity,4,add,adjusted_shots_lineup_std_across_starters_5,7,-0.005686063015487908,4,0.0018564152444018323,False
lineup_continuity,4,remove,mean_pairwise_prior_minutes,5,-0.005675358885555082,3,0.0013588664340129508,False
lineup_continuity,4,add,gk_saves_per90_5,7,-0.0056565050323116985,3,0.0025209061251620923,False
