model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy,selected_groups
player_form_logistic,Pooled player-form logistic,lineup_continuity + position_and_distribution + recency,2023-24,4078,1233,5,44,48,0.9690042983302017,0.5749243393786492,0.5325287888487701,lineup_continuity|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,lineup_continuity + position_and_distribution + recency,2024-25,5311,1327,5,44,48,1.0079519660661302,0.5981364147698282,0.5195256584584148,lineup_continuity|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + lineup_continuity,2022-23,2743,1335,5,46,50,0.9485732620929734,0.5563818495705661,0.5610079989223669,legacy_player_form|team_strength|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + lineup_continuity,2023-24,4078,1233,5,46,50,0.9436372239116105,0.5521030468993235,0.5682508479703153,legacy_player_form|team_strength|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + lineup_continuity,2024-25,5311,1327,5,46,50,0.9885174335197588,0.5830968299492459,0.5342491871732186,legacy_player_form|team_strength|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + position_and_distribution,2022-23,2743,1335,5,59,63,0.9577162244256814,0.5608648368090413,0.5530133033415782,legacy_player_form|team_strength|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + position_and_distribution,2023-24,4078,1233,5,59,63,0.9490445867789422,0.5553453875970625,0.5658765686018468,legacy_player_form|team_strength|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + position_and_distribution,2024-25,5311,1327,5,59,63,0.9881806245444625,0.582788660858279,0.531477743581265,legacy_player_form|team_strength|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + recency,2022-23,2743,1335,5,56,60,0.9459459547318442,0.5555873433811052,0.5597011819400797,legacy_player_form|team_strength|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form + recency,2023-24,4078,1233,5,56,60,0.9436336872923707,0.5520445022006273,0.5655022104166,legacy_player_form|team_strength|opponent_adjusted_form|recency
